Price,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,
2006-02-16,11120.6796875,11120.759765625,11046.400390625,11059.0498046875,302980000
2006-02-17,11115.3203125,11131.9501953125,11077.7001953125,11119.5595703125,329160000
2006-02-21,11069.0595703125,11140.76953125,11050.8095703125,11115.48046875,270410000
2006-02-22,11137.169921875,11159.1796875,11060.330078125,11065.2900390625,337280000
2006-02-23,11069.2197265625,11135.8896484375,11052.73046875,11133.51953125,270410000
2006-02-24,11061.849609375,11085.5400390625,11010.2197265625,11065.76953125,247270000
2006-02-27,11097.5498046875,11132.6103515625,11061.73046875,11062.8095703125,268610000
2006-02-28,10993.41015625,11100.1904296875,10978.6103515625,11096.75,325450000
2006-03-01,11053.5302734375,11069.3798828125,10991.9697265625,10993.25,270620000
2006-03-02,11025.509765625,11052.5703125,10986.0498046875,11052.5703125,274280000
2006-03-03,11021.58984375,11106.6796875,10984.6103515625,11024.23046875,365750000
2006-03-06,10958.58984375,11037.1201171875,10929.2197265625,11022.4697265625,292510000
2006-03-07,10980.6904296875,10989.009765625,10928.740234375,10957.3095703125,284770000
2006-03-08,11005.740234375,11026.7099609375,10922.73046875,10977.080078125,276610000
2006-03-09,10972.2802734375,11049.1201171875,10963.8798828125,11005.66015625,266390000
2006-03-10,11076.33984375,11098.990234375,10972.919921875,10972.919921875,257440000
2006-03-13,11076.01953125,11116.6796875,11056.330078125,11067.6103515625,251020000
2006-03-14,11151.33984375,11161.349609375,11058.650390625,11076.01953125,251560000
2006-03-15,11209.76953125,11226.740234375,11138.9296875,11149.759765625,274740000
2006-03-16,11253.240234375,11282.4501953125,11210.5703125,11210.9697265625,306150000
2006-03-17,11279.650390625,11290.0703125,11254.1201171875,11254.1201171875,480830000
2006-03-20,11274.5302734375,11308.3896484375,11259.7998046875,11278.9296875,247410000
2006-03-21,11235.4697265625,11334.9599609375,11221.5400390625,11275.8896484375,331800000
2006-03-22,11317.4296875,11328.7998046875,11226.419921875,11234.509765625,342980000
2006-03-23,11270.2900390625,11327.2001953125,11237.150390625,11317.349609375,292420000
2006-03-24,11279.9697265625,11316.08984375,11244.0302734375,11270.6103515625,240800000
2006-03-27,11250.1103515625,11280.4501953125,11229.8603515625,11280.1298828125,226240000
2006-03-28,11154.5400390625,11281.76953125,11145.01953125,11250.1103515625,272490000
2006-03-29,11215.7001953125,11244.349609375,11154.9404296875,11154.9404296875,279470000
2006-03-30,11150.7001953125,11259.16015625,11117.6396484375,11216.33984375,276900000
2006-03-31,11109.3203125,11191.3603515625,11105.650390625,11151.33984375,317000000
2006-04-03,11144.9404296875,11247.8701171875,11113.0,11113.0,278440000
2006-04-04,11203.849609375,11226.98046875,11123.5703125,11142.5400390625,246950000
2006-04-05,11239.5498046875,11250.990234375,11169.349609375,11203.2099609375,250190000
2006-04-06,11216.5,11246.91015625,11167.0302734375,11233.009765625,240370000
2006-04-07,11120.0400390625,11269.2998046875,11108.01953125,11217.1396484375,256290000
2006-04-10,11141.330078125,11185.5400390625,11117.080078125,11119.8798828125,207380000
2006-04-11,11089.6298828125,11186.6396484375,11053.169921875,11141.330078125,266080000
2006-04-12,11129.9697265625,11144.1396484375,11087.4697265625,11089.4697265625,212590000
2006-04-13,11137.650390625,11178.400390625,11105.7998046875,11130.1298828125,230870000
2006-04-17,11073.7802734375,11159.990234375,11039.1201171875,11137.330078125,239730000
2006-04-18,11268.76953125,11280.4501953125,11074.580078125,11074.580078125,309660000
2006-04-19,11278.76953125,11302.9501953125,11236.1904296875,11265.400390625,292280000
